date,510300.SH,510500.SH,512100.SH,588000.SH,159915.SZ,688041.SH,300308.SZ,300274.SZ,002371.SZ,688981.SH,600276.SH,603019.SH,600089.SH,600875.SH,601088.SH,600219.SH,600019.SH,518880.SH,000792.SZ,600900.SH,000858.SZ,601318.SH,600036.SH
2025-08-14,0.08,0.06,0.04,0.06,0.06,0.039,0.0498,0.04,0.0368,0.0295,0.029,0.0193,0.04,0.03,0.0,0.03,0.0299,0.05,0.0297,0.0399,0.0284,0.0197,0.0299
2026-04-17,0.08,0.0599,0.04,0.06,0.06,0.0388,0.0421,0.0398,0.0353,0.0299,0.03,0.02,0.0399,0.03,0.0396,0.03,0.03,0.05,0.0297,0.0397,0.0298,0.0199,0.0297
