OHLCV 数据完整性验证报告 (5 年日K线)
生成时间: 2026-07-25T13:44:18.148615
数据目录: E:\各种PY程序\28-终极量化交易系统8.4\data_cache
================================================================================

标的池总数: 105
通过: 101
失败: 4
覆盖率: 96.2%

================================================================================
所有标的详情
================================================================================
✓ 601728_SH | rows=1192 | 2021-08-20 ~ 2026-07-24 | days=1799
✓ 000975_SZ | rows=1260 | 2021-05-10 ~ 2026-07-24 | days=1901
✓ 600588_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 000776_SZ | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 002415_SZ | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 300059_SZ | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 600036_SH | rows=1260 | 2021-05-17 ~ 2026-07-24 | days=1894
✓ 601398_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 601939_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 600000_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 601166_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 601318_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 600030_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 601688_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 601601_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✗ 600837_SH | rows=872 | 2021-07-26 ~ 2025-03-04 | days=1317 | issues: 行数过少 (872 < 1000), 结束日期过早 (2025-03-04 < 2026-05-26)
✓ 600900_SH | rows=1260 | 2021-04-27 ~ 2026-07-24 | days=1914
✓ 600023_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 600886_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 601668_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 601800_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
