code,date,y,MOM_5D,MOM_10D,MOM_20D,MOM_60D,REVERSAL_5D,REVERSAL_20D,UP_DOWN_RATIO_20D,UP_DOWN_RATIO_60D,VOL_5D,VOL_20D,VOL_60D,DOWNSIDE_VOL_20D,DOWNSIDE_VOL_60D,SKEW_60D,KURT_60D,TURNOVER_5D,TURNOVER_20D,TURNOVER_60D,AMIHUD_20D,AMIHUD_60D,VOLUME_CHG_5D,VOLUME_CHG_20D,VOLUME_Z_20D,VOLUME_Z_60D,MA_DEV_10D,MA_DEV_20D,MA_DEV_60D,MACD,RSI_6D,RSI_14D,RSI_28D,BB_WIDTH_20D,BB_WIDTH_60D,ATR_14D,ATR_28D,OBV_CHG,PRICE_VOL_DIVERG_20D,PRICE_VOL_DIVERG_60D,SIZE_PROXY,MOM_120D,VOL_120D,SKEW_120D,KURT_120D,MA_DEV_120D,QUALITY_PROXY,MOM_252D,MOM_12_1M,VOL_252D,LONG_TERM_RET,EARNING_STABILITY
000975.SZ,2024-12-23 15:00:00,-0.024777636594663366,-0.028994447871684148,-0.08435136707388025,-0.022967101179391602,-0.06642941874258601,0.028994447871684148,0.022967101179391602,1.2222222222222223,1.0689655172413792,0.012678712061154881,0.01607391603750746,0.02186195722175651,0.007703590600267305,0.013707826382718821,-0.1927254288368612,0.4495288852960577,244790.6,275958.25,414824.6666666667,5.541353897025127e-08,4.656291299528241e-08,-0.4697955992211241,-0.24839712097993338,-0.17632238350322355,-0.6322398178523972,-0.044032796841785626,-0.048367593712212775,-0.09002437778826966,-0.007299775381873875,10.033043173519246,26.785440643781456,43.400768636259684,0.06451014242039162,0.11101106361586209,0.029088763840987474,0.03144853875476491,-1.65845e+17,0.0,0.0,15.74,,,,,,,,,,,
600276.SH,2024-12-23 15:00:00,0.006324972737186352,-0.013978494623655857,-0.04737170164138793,-0.05813475760065734,0.05016032982134688,0.013978494623655857,0.05813475760065734,0.5384615384615384,0.875,0.007093191643468293,0.014287145156997794,0.026604157469180375,0.00894863701527066,0.01623034493665021,0.4630795437330944,1.9533913383909716,280626.2,412346.2,501219.4,2.429994562999543e-08,3.365821559295606e-08,-0.5020848030455513,-0.192560325023165,-0.2621680777171478,-0.6279058795965623,-0.021783192165731324,-0.049849239983007054,-0.06065614073426562,-0.006652323779512976,29.359370042408898,18.796496729772443,41.11594090489041,0.06643552140124909,0.08416631523582023,0.021374045801526704,0.027177130394142383,-0.9460166849903465,0.0,0.0,45.85,,,,,,,,,,,
600900.SH,2024-12-23 15:00:00,-0.005410889414947606,0.010249402118209794,0.055317630264097195,0.09518518518518526,0.028164116828929053,-0.010249402118209794,-0.09518518518518526,1.5,1.0,0.007086247958161256,0.009116032068488657,0.0120053816698984,0.003935831842091277,0.007212287478019961,0.14952292362268593,0.4523828175309603,969242.4,1045087.35,1298481.1166666667,7.671735887957808e-09,6.961698405645666e-09,-0.20178347306178246,-0.09574115404847183,0.14273954768550112,-0.30922960692347956,0.02208703466869455,0.042390059046444106,0.0493630008162107,0.004714819638660358,82.64694556408855,73.93428029093903,67.3976473804264,0.055026216081480214,0.05439242601873837,0.01727136576646216,0.015689163727716313,9.44066e+17,1.0,0.0,29.57,,,,,,,,,,,
000975.SZ,2024-12-30 15:00:00,0.08925081433224746,-0.02601522842639592,-0.05305367057372001,-0.09171597633136086,-0.16074357572443954,0.02601522842639592,0.09171597633136086,1.0,0.9354838709677419,0.014295890182135583,0.013096875888070455,0.02064455381147285,0.0077524205013550975,0.013558003181222923,-0.27274451763128665,0.4904978820174941,221263.0,273572.45,378122.85,4.480510426165698e-08,4.7598700497171936e-08,-0.09611316774418632,-0.19068085800018286,-0.27585630944774603,-0.655427229221978,-0.021233182426831698,-0.06027120511800166,-0.10353621382754019,-0.006089415310804612,37.425000419866926,16.895261429974568,38.19856347778082,0.08762953754883583,0.12444041070307635,0.028804094927873437,0.0293159609120521,-1.4265915173270127,0.0,0.0,15.35,-0.14484679665738165,0.02337702341241797,0.06543603943124109,0.443017268693509,-0.1044558426720471,-0.020994151851833006,,,,,
600276.SH,2024-12-30 15:00:00,-0.04551365409622887,-0.004101014461472041,-0.007741935483870921,-0.07032037074350195,-0.17621853240492769,0.004101014461472041,0.07032037074350195,0.5384615384615384,0.7647058823529411,0.008077095414886479,0.010973972848775895,0.022575621876975847,0.009184648048097186,0.01597124217132986,0.16792433861228856,3.4541196196829884,266769.2,356322.85,477731.1666666667,2.1889352493256622e-08,2.8957092147422152e-08,-0.04937885343563786,-0.3088846175106895,-0.5431122991492539,-1.0059447403057187,-0.0035202902619700938,-0.025451473228429555,-0.053538461538461535,-0.0019542889940374823,47.04688993398093,29.27512371651268,35.62121811994058,0.058411615936069715,0.07785764711237823,0.01693603319090965,0.023855966313703632,-0.8095795914863984,0.0,0.0,46.14,0.15263552335748187,0.02226471250570164,0.42564568333579866,2.6902010268360312,0.005776566757493162,0.0792572536045324,,,,,
600900.SH,2024-12-30 15:00:00,-0.024141448486909245,-0.013418316001341801,0.004783054321831237,0.05223613595706622,0.006502395619438772,0.013418316001341801,-0.05223613595706622,1.2222222222222223,0.8709677419354839,0.010645373295240982,0.009863393716076679,0.011019534356679794,0.005429371161081601,0.007210070341438355,-0.21846114538136133,-0.36705793851237045,828770.6,1023483.8,1213586.4666666666,8.18435735873354e-09,7.062763288173021e-09,-0.14492948306842546,-0.07072511236936196,-0.8269411893276138,-0.7305330201153885,-0.001900495486323095,0.0166972033048709,0.0424026181165158,0.0012666688187374204,56.93745479797938,72.07257277501928,63.973110654693876,0.04366902707245134,0.057437885556644475,0.016029533200563457,0.015859522999951425,3.63397e+17,0.0,0.0,29.41,0.0030695770804911593,0.011889816162156272,-0.3941118302754564,1.5346614041365854,0.01679093727311498,0.006391461892722031,,,,,
000975.SZ,2025-01-07 15:00:00,0.0035885167464115852,0.08783344176968111,0.060913705583756306,-0.02734147760325789,-0.0434782608695653,-0.08783344176968111,0.02734147760325789,1.1111111111111112,1.0344827586206897,0.017143622158288442,0.01720045385009103,0.01933414433258709,0.007907211342387258,0.010489401288943576,0.177501332987396,-0.4471651141162325,350062.0,319451.65,335698.88333333336,4.3564387233412786e-08,4.85083251141567e-08,0.58210816991544,0.2618088822670652,-0.6151641937740069,-0.8207439404252416,0.05715730905412242,0.03590347263095928,-0.016374154328855695,0.00751486887741307,95.03010982635477,58.84665156079425,53.28299493585487,0.08222381192381263,0.12755012916901243,0.027127477785372524,0.027042036910457954,-0.07794375475596871,0.0,0.0,16.72,-0.0407343660355709,0.0228383724908583,-0.09757352842242287,0.20150708432921105,-0.020159399906235387,-0.01797756510040329,,,,,
600276.SH,2025-01-07 15:00:00,0.005676657584014588,-0.04052287581699343,-0.049428016404057806,-0.08497818408477043,-0.12964426877470359,0.04052287581699343,0.08497818408477043,0.5384615384615384,0.6666666666666666,0.014875161260946105,0.012201236343482767,0.01713674445583014,0.0096659532815987,0.010133924645352186,0.8058811785675295,2.9060792013229153,313814.4,356203.05,444386.9,2.778980608365783e-08,2.7748239870678092e-08,0.17635169277412843,-0.2091317853364031,-0.5363914725009777,-0.961583654597099,-0.033277724119764596,-0.047031711512869556,-0.08485459287042718,-0.0039469100416994855,20.39605057861594,28.05009679649072,27.43906214962621,0.04750756453209614,0.07299156114395494,0.0184085895938757,0.02187946023095886,-1.3063472223850328,0.0,0.0,44.04,0.06711897261933597,0.02196307607960303,0.48186776629336425,2.9797962681124623,-0.044516201351649354,0.041687464304316135,,,,,
600900.SH,2025-01-07 15:00:00,0.004878048780487809,-0.02876480541455162,-0.03723582690372351,0.024268379728765055,-0.006232686980609414,0.02876480541455162,-0.024268379728765055,0.8181818181818182,0.7575757575757576,0.006110920161644316,0.00954700942107981,0.009769575507478612,0.0051645161689395135,0.005590343986712383,0.046489882634602464,-0.7990392184380193,880509.2,973195.55,1073795.35,7.981840861192746e-09,7.2519768571269206e-09,0.0624281314998385,-0.08556112549598693,-1.1212614201969984,-1.501216390194654,-0.021412984178941774,-0.014744502995245434,0.017339674474935896,-0.00419190842322207,11.731145975479592,40.434673717436326,60.76678197571061,0.03479568605606796,0.05724076969412888,0.01744649079143852,0.016986062717770038,-2.108409e+18,0.0,0.0,28.7,-0.03949129852744315,0.011748309316543656,-0.3634318012653165,1.6148492006032775,-0.006467767898869825,-0.030048585085414428,,,,,
000975.SZ,2025-01-14 15:00:00,-0.04648390941597147,0.010843373493975905,0.09173715029277818,0.03516347933374453,-0.1354971664090674,-0.010843373493975905,-0.03516347933374453,0.9,0.9032258064516129,0.013410314622411205,0.017040768560291148,0.017314021303380132,0.007786742993453945,0.009997578292574597,0.09305359926968475,-0.3299887474636014,223235.0,259837.65,309568.4166666667,5.0635349562012996e-08,4.809337321039383e-08,-0.362298678519805,-0.08355559239299115,0.002982193168130442,-0.3553829045569425,0.021302495435179702,0.045059633170366986,-0.004439873824521046,0.00945401457122684,67.8869234965463,66.73596072012666,49.1114514238404,0.06717534616323363,0.11584514855541382,0.028350076621828698,0.02762642601736761,1.935952474746458,0.0,0.0,16.78,-0.07497243660418962,0.021998574295843207,-0.15403340461204296,0.38965671718242767,-0.012728235501774932,-0.029060720027906946,,,,,
