entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol,symbol_name,display_symbol
2023-09-01,2026-09-03,long,127600,3.5811,4.621,132517.67,29.000799999999998,727,sh510300,沪深300ETF,沪深300ETF
2023-09-01,2026-09-03,long,62600,5.4716,7.781,144419.75,42.1633,727,sh510500,中证500ETF,中证500ETF
2023-09-01,2026-09-03,long,96000,2.3807,3.086,67618.58,29.5861,727,sh512100,中证1000ETF,中证1000ETF
2023-09-01,2026-09-03,long,346300,0.9903,1.703,246632.12,71.917,727,sh588000,科创50ETF,科创50ETF
2023-09-01,2026-09-03,long,166400,2.0606,3.33,211058.93,61.55350000000001,727,sz159915,创业板ETF,创业板ETF
2023-09-01,2026-09-03,long,63900,4.4713,9.105,295916.27,103.56909999999999,727,sh518880,黄金ETF,黄金ETF
